skill,function,form,基础伤害,范围,冷却,notes
骨牢,CTRL,持续,无,远程环,有,
骨墙,CTRL,持续,无,远程线,无,
龙卷风,CTRL,持续,有,中AOE,有,减速+伤害(R)
信念,CTRL,光环,无,中半径,无,降防+降元素抗
神圣冰冷,CTRL,光环,有,中半径,无,减速+冰DOT
凶恶守护,CTRL,瞬发,无,触发于尸体,无,使敌人逃跑
缓慢飞弹,CTRL,瞬发,无,大范围,无,减飞弹速
吸引,CTRL,瞬发,无,远程单体,无,被打者吸引仇恨
驱逐,CTRL,瞬发,无,中,有,变虚体+减速
妖术(萨满),CTRL,瞬发,无,中,有,变形减伤
妖术,CTRL,瞬发,无,中,有,变青蛙
睡眠,CTRL,瞬发,无,中,有,催眠
内视,CTRL,瞬发,无,中等半径,无,降低防御
降低抗性,CTRL,瞬发,无,中AOE,无,降元素抗
衰老,CTRL,瞬发,无,中AOE,无,减速+减抗+减伤
困惑,CTRL,瞬发,无,中AOE,无,互相攻击
黯淡视野,CTRL,瞬发,无,中AOE,无,减视野
恐惧,CTRL,瞬发,无,中AOE,无,逃跑
衰弱,CTRL,瞬发,无,中AOE,无,降攻击
嘲讽,CTRL,瞬发,无,中AOE,无,迫近+降攻
战斗呼喊,CTRL,瞬发,无,中AOE,无,降攻+降防
增强伤害,CTRL,瞬发,无,中AOE,无,易伤+100%物伤
暗影斗篷,CTRL,瞬发,无,中AOE,有,致盲
醉酒云雾,CTRL,瞬发,无,中AOE,有,失明+miss
恐惧嚎叫,CTRL,瞬发,无,中AOE,有,降攻+逃跑
沉默,CTRL,瞬发,无,中AOE,有,AOE沉默
战争之吼,CTRL,瞬发,无,自身AOE,有,
嚎叫,CTRL,瞬发,无,自身AOE,有,使敌人逃跑
转化,CTRL,瞬发,有,近战,无,变敌为友
神圣盾击,CTRL,瞬发,有,近战,无,无敌也能伤
击晕,CTRL,瞬发,有,近战,无,
震波,CTRL,瞬发,有,近战锥,无,熊形震晕
纠缠根须,CTRL,瞬发,有,中,有,束缚+DOT
法力燃烧,CTRL,瞬发,有,中,有,烧蓝并转伤
风暴之锤,CTRL,瞬发,有,中,有,远程眩晕
灵魂燃烧,CTRL,瞬发,有,中,有,DOT+沉默
铁处女,CTRL,瞬发,有,中AOE,无,反伤
心灵爆破,CTRL,瞬发,有,中AOE,无,眩晕+转化
